Groups:
AD9226_0_BITS_r[11..0] =, AD9226_0_BITS_r[11], AD9226_0_BITS_r[10], AD9226_0_BITS_r[9], AD9226_0_BITS_r[8], AD9226_0_BITS_r[7], AD9226_0_BITS_r[6], AD9226_0_BITS_r[5], AD9226_0_BITS_r[4], AD9226_0_BITS_r[3], AD9226_0_BITS_r[2], AD9226_0_BITS_r[1], AD9226_0_BITS_r[0],  hex
AD9226_1_BITS_r[11..0] =, AD9226_1_BITS_r[11], AD9226_1_BITS_r[10], AD9226_1_BITS_r[9], AD9226_1_BITS_r[8], AD9226_1_BITS_r[7], AD9226_1_BITS_r[6], AD9226_1_BITS_r[5], AD9226_1_BITS_r[4], AD9226_1_BITS_r[3], AD9226_1_BITS_r[2], AD9226_1_BITS_r[1], AD9226_1_BITS_r[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS_r[11..0], AD9226_0_BITS_r[11], AD9226_0_BITS_r[10], AD9226_0_BITS_r[9], AD9226_0_BITS_r[8], AD9226_0_BITS_r[7], AD9226_0_BITS_r[6], AD9226_0_BITS_r[5], AD9226_0_BITS_r[4], AD9226_0_BITS_r[3], AD9226_0_BITS_r[2], AD9226_0_BITS_r[1], AD9226_0_BITS_r[0], AD9226_1_BITS_r[11..0], AD9226_1_BITS_r[11], AD9226_1_BITS_r[10], AD9226_1_BITS_r[9], AD9226_1_BITS_r[8], AD9226_1_BITS_r[7], AD9226_1_BITS_r[6], AD9226_1_BITS_r[5], AD9226_1_BITS_r[4], AD9226_1_BITS_r[3], AD9226_1_BITS_r[2], AD9226_1_BITS_r[1], AD9226_1_BITS_r[0], start_cor_r, 
0, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
28, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
29, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
30, 139, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
31, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
32, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
33, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
34, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
35, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
36, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
37, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
38, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
39, 139, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
40, 13A, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
41, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
42, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
43, 139, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
44, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
45, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
46, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
