Groups:
Filter:Filter_0_inst|Filter_bits[11..0] =, Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0],  signed decimal

Data:
time unit: s, Filter:Filter_0_inst|Filter_bits[11..0], Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, 
60, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
61, 51, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 
62, 43, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 
63, 33, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
64, 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
65, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
66, -4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
67, -17, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
68, -28, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
69, -37, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 
70, -45, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
71, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
72, -52, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
73, -52, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
74, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
75, -43, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 
76, -36, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 
77, -26, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
78, -14, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
79, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
80, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
81, 24, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
82, 36, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
83, 46, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
84, 54, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
85, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
86, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
87, 60, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
88, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
89, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
90, 41, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
91, 31, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
92, 18, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
93, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
94, -7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 
95, -20, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
96, -30, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
97, -39, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 
98, -46, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
99, -50, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
100, -52, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
101, -51, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 
102, -48, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
103, -42, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
104, -34, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
105, -24, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
106, -12, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
107, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
108, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
109, 26, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
110, 37, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
111, 47, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
112, 54, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
113, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
114, 61, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 
115, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
116, 55, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
