Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  hex
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  hex

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
29, 0ED, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
30, 0F2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
31, 0EF, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
32, 0F4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
33, 0F1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
34, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
35, 0F4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
36, 0EF, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
37, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
38, 0F2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
39, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
40, 0ED, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
41, 0F1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 132, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
42, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
43, 0F1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
44, 0F3, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
45, 0F4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
46, 0F3, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
47, 0EF, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
48, 0EE, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 132, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
49, 0F1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 12F, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 
50, 0F4, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
51, 0F1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 
52, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
53, 0F2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 
54, 0F0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
55, 0EE, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 
