Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
30, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1278, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
31, 306, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1285, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 
32, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1270, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
33, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1262, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
34, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1264, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
35, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1249, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 
36, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1256, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
37, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1232, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 
38, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1268, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
39, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1202, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
40, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1179, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 
41, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1160, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
42, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1153, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 
43, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1141, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 
44, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1113, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
45, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1157, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
46, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1092, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
47, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1048, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
48, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1087, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
49, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 994, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
50, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 968, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
51, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 941, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 
52, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 914, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
53, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 885, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 
54, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 851, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 
55, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 827, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 
56, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 812, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 
57, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 770, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 
