Groups:
AD9226_0_BITS_r[11..0] =, AD9226_0_BITS_r[11], AD9226_0_BITS_r[10], AD9226_0_BITS_r[9], AD9226_0_BITS_r[8], AD9226_0_BITS_r[7], AD9226_0_BITS_r[6], AD9226_0_BITS_r[5], AD9226_0_BITS_r[4], AD9226_0_BITS_r[3], AD9226_0_BITS_r[2], AD9226_0_BITS_r[1], AD9226_0_BITS_r[0],  hex
AD9226_1_BITS_r[11..0] =, AD9226_1_BITS_r[11], AD9226_1_BITS_r[10], AD9226_1_BITS_r[9], AD9226_1_BITS_r[8], AD9226_1_BITS_r[7], AD9226_1_BITS_r[6], AD9226_1_BITS_r[5], AD9226_1_BITS_r[4], AD9226_1_BITS_r[3], AD9226_1_BITS_r[2], AD9226_1_BITS_r[1], AD9226_1_BITS_r[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS_r[11..0], AD9226_0_BITS_r[11], AD9226_0_BITS_r[10], AD9226_0_BITS_r[9], AD9226_0_BITS_r[8], AD9226_0_BITS_r[7], AD9226_0_BITS_r[6], AD9226_0_BITS_r[5], AD9226_0_BITS_r[4], AD9226_0_BITS_r[3], AD9226_0_BITS_r[2], AD9226_0_BITS_r[1], AD9226_0_BITS_r[0], AD9226_1_BITS_r[11..0], AD9226_1_BITS_r[11], AD9226_1_BITS_r[10], AD9226_1_BITS_r[9], AD9226_1_BITS_r[8], AD9226_1_BITS_r[7], AD9226_1_BITS_r[6], AD9226_1_BITS_r[5], AD9226_1_BITS_r[4], AD9226_1_BITS_r[3], AD9226_1_BITS_r[2], AD9226_1_BITS_r[1], AD9226_1_BITS_r[0], start_cor_r, 
0, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
28, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 118, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
29, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
30, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
31, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
32, 132, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
33, 132, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
34, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
35, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
36, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
37, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
38, 131, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
39, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
40, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
41, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
42, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
43, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 110, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
44, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
45, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
46, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
47, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
48, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
49, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
50, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
51, 130, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
52, 131, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
53, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
54, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
55, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
56, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
57, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
58, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
59, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
60, 131, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 116, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
61, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
62, 138, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 118, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
63, 130, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
64, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
65, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
66, 135, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 118, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
67, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
68, 136, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
69, 132, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
70, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
71, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 115, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
72, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
73, 134, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 119, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
